internal_id,aum_date,aum,contributions,active_members,deferred_members,created_at
1CNXU,2023-12-31,39224453.4,9070,6898,4132,2024-02-20 21:10:35.136116
9LZ03,2023-12-31,11917467.9,2560,6954,4496,2024-02-20 21:10:35.136116
ML3VU,2023-12-31,159297.3,1950,8083,317,2024-02-20 21:10:35.136116
TBRY7,2023-12-31,17413734.6,6980,4701,7961,2024-02-20 21:10:35.136116
IP4RS,2023-12-31,73713235.5,8942,6776,1900,2024-02-20 21:10:35.136116
6U0VA,2023-12-31,6599483.1,7699,4425,3374,2024-02-20 21:10:35.136116
KYFTE,2023-12-31,75179569.5,9662,263,5552,2024-02-20 21:10:35.136116
WXO97,2023-12-31,56407732.2,7100,8262,4363,2024-02-20 21:10:35.136116
1TIPY,2023-12-31,27461468.7,3314,1994,9589,2024-02-20 21:10:35.136116
TP4ZF,2023-12-31,39129828.3,6938,7388,6009,2024-02-20 21:10:35.136116
CZB5X,2023-12-31,83380946.4,2055,2400,6365,2024-02-20 21:10:35.136116
RAFCU,2023-12-31,14845241.7,3968,4921,8158,2024-02-20 21:10:35.136116
VIHVV,2023-12-31,428369.4,8623,1759,2804,2024-02-20 21:10:35.136116
OPPSF,2023-12-31,4713750.9,6088,7431,2963,2024-02-20 21:10:35.136116
LAVC2,2023-12-31,50941359.9,1661,7993,4435,2024-02-20 21:10:35.136116
BRQPQ,2023-12-31,87670305.9,5165,910,8722,2024-02-20 21:10:35.136116
BJVAE,2023-12-31,84235854.6,6359,6107,9927,2024-02-20 21:10:35.136116
XVGI1,2023-12-31,59975595,8869,5579,401,2024-02-20 21:10:35.136116
SOCCG,2023-12-31,23309367.3,1423,8096,5689,2024-02-20 21:10:35.136116
9IDUJ,2023-12-31,46582505.1,5766,2116,96,2024-02-20 21:10:35.136116
HW8NG,2023-12-31,42520911.3,6994,6533,1225,2024-02-20 21:10:35.136116
WLCO4,2023-12-31,62715230.1,2564,9756,8526,2024-02-20 21:10:35.136116
5FGCX,2023-12-31,27829481.4,9255,636,5531,2024-02-20 21:10:35.136116
YVK5A,2023-12-31,12653489.7,9457,7101,1157,2024-02-20 21:10:35.136116
5U5D7,2023-12-31,89483699.7,6049,186,4189,2024-02-20 21:10:35.136116
ZOVAU,2023-12-31,64559646.9,1046,2162,1496,2024-02-20 21:10:35.136116
KJRCF,2023-12-31,89663058,9550,1723,6971,2024-02-20 21:10:35.136116
IIQ6L,2023-12-31,56668181.4,4080,9226,4363,2024-02-20 21:10:35.136116
G6I8V,2023-12-31,73584024.3,5961,4681,8510,2024-02-20 21:10:35.136116
BQIG1,2023-12-31,21722889.6,7145,667,5002,2024-02-20 21:10:35.136116
HBGSO,2023-12-31,84046924.8,2451,1291,1641,2024-02-20 21:10:35.136116
AYCRB,2023-12-31,81723563.1,6981,8410,3952,2024-02-20 21:10:35.136116
SIRFG,2023-12-31,21326520.6,6514,7858,3068,2024-02-20 21:10:35.136116
IXZIX,2023-12-31,72649892.7,1885,8864,6842,2024-02-20 21:10:35.136116
66CEN,2023-12-31,70603121.7,6082,8212,6336,2024-02-20 21:10:35.136116
H3RZC,2023-12-31,66466736.1,1054,5809,653,2024-02-20 21:10:35.136116
NU0X7,2023-12-31,61084294.2,1040,5203,9441,2024-02-20 21:10:35.136116
SOFNA,2023-12-31,17941626,7216,3911,7579,2024-02-20 21:10:35.136116
DYCEA,2023-12-31,37674069.3,3193,7407,1784,2024-02-20 21:10:35.136116
FS6QB,2023-12-31,66911940,2938,1116,9622,2024-02-20 21:10:35.136116
CUA1P,2023-12-31,1139805.9,5705,4201,2524,2024-02-20 21:10:35.136116
3S7RG,2023-12-31,59761126.8,1360,2328,9527,2024-02-20 21:10:35.136116
NDWON,2023-12-31,12494162.7,6795,5634,4179,2024-02-20 21:10:35.136116
ZZLYB,2023-12-31,15411035.7,5194,2651,6443,2024-02-20 21:10:35.136116
