internal_id,aum_date,aum,contributions,active_members,deferred_members,created_at
1CNXU,2023-11-30,35302008.06,9070,6898,4132,2023-12-20 21:10:35.136116
9LZ03,2023-11-30,10725721.11,2560,6954,4496,2023-12-20 21:10:35.136116
ML3VU,2023-11-30,143367.57,1950,8083,317,2023-12-20 21:10:35.136116
TBRY7,2023-11-30,15672361.14,6980,4701,7961,2023-12-20 21:10:35.136116
IP4RS,2023-11-30,66341911.95,8942,6776,1900,2023-12-20 21:10:35.136116
6U0VA,2023-11-30,5939534.79,7699,4425,3374,2023-12-20 21:10:35.136116
KYFTE,2023-11-30,67661612.55,9662,263,5552,2023-12-20 21:10:35.136116
WXO97,2023-11-30,50766958.98,7100,8262,4363,2023-12-20 21:10:35.136116
1TIPY,2023-11-30,24715321.83,3314,1994,9589,2023-12-20 21:10:35.136116
TP4ZF,2023-11-30,35216845.47,6938,7388,6009,2023-12-20 21:10:35.136116
CZB5X,2023-11-30,75042851.76,2055,2400,6365,2023-12-20 21:10:35.136116
RAFCU,2023-11-30,13360717.53,3968,4921,8158,2023-12-20 21:10:35.136116
VIHVV,2023-11-30,385532.46,8623,1759,2804,2023-12-20 21:10:35.136116
OPPSF,2023-11-30,4242375.81,6088,7431,2963,2023-12-20 21:10:35.136116
LAVC2,2023-11-30,45847223.91,1661,7993,4435,2023-12-20 21:10:35.136116
BRQPQ,2023-11-30,78903275.31,5165,910,8722,2023-12-20 21:10:35.136116
BJVAE,2023-11-30,75812269.14,6359,6107,9927,2023-12-20 21:10:35.136116
XVGI1,2023-11-30,53978035.5,8869,5579,401,2023-12-20 21:10:35.136116
SOCCG,2023-11-30,20978430.57,1423,8096,5689,2023-12-20 21:10:35.136116
9IDUJ,2023-11-30,41924254.59,5766,2116,96,2023-12-20 21:10:35.136116
HW8NG,2023-11-30,38268820.17,6994,6533,1225,2023-12-20 21:10:35.136116
WLCO4,2023-11-30,56443707.09,2564,9756,8526,2023-12-20 21:10:35.136116
5FGCX,2023-11-30,25046533.26,9255,636,5531,2023-12-20 21:10:35.136116
YVK5A,2023-11-30,11388140.73,9457,7101,1157,2023-12-20 21:10:35.136116
5U5D7,2023-11-30,80535329.73,6049,186,4189,2023-12-20 21:10:35.136116
ZOVAU,2023-11-30,58103682.21,1046,2162,1496,2023-12-20 21:10:35.136116
KJRCF,2023-11-30,80696752.2,9550,1723,6971,2023-12-20 21:10:35.136116
IIQ6L,2023-11-30,51001363.26,4080,9226,4363,2023-12-20 21:10:35.136116
G6I8V,2023-11-30,66225621.87,5961,4681,8510,2023-12-20 21:10:35.136116
BQIG1,2023-11-30,19550600.64,7145,667,5002,2023-12-20 21:10:35.136116
HBGSO,2023-11-30,75642232.32,2451,1291,1641,2023-12-20 21:10:35.136116
AYCRB,2023-11-30,73551206.79,6981,8410,3952,2023-12-20 21:10:35.136116
SIRFG,2023-11-30,19193868.54,6514,7858,3068,2023-12-20 21:10:35.136116
IXZIX,2023-11-30,65384903.43,1885,8864,6842,2023-12-20 21:10:35.136116
66CEN,2023-11-30,63542809.53,6082,8212,6336,2023-12-20 21:10:35.136116
H3RZC,2023-11-30,59820062.49,1054,5809,653,2023-12-20 21:10:35.136116
NU0X7,2023-11-30,54975864.78,1040,5203,9441,2023-12-20 21:10:35.136116
SOFNA,2023-11-30,16147463.4,7216,3911,7579,2023-12-20 21:10:35.136116
DYCEA,2023-11-30,33906662.37,3193,7407,1784,2023-12-20 21:10:35.136116
FS6QB,2023-11-30,60220746,2938,1116,9622,2023-12-20 21:10:35.136116
CUA1P,2023-11-30,1025825.31,5705,4201,2524,2023-12-20 21:10:35.136116
3S7RG,2023-11-30,53785014.12,1360,2328,9527,2023-12-20 21:10:35.136116
NDWON,2023-11-30,11244746.43,6795,5634,4179,2023-12-20 21:10:35.136116
ZZLYB,2023-11-30,13869932.13,5194,2651,6443,2023-12-20 21:10:35.136116
MBQHK,2023-11-30,46339643.16,5232,5917,5123,2023-12-20 21:10:35.136116
1BGY0,2023-11-30,69794523.18,1349,295,9865,2023-12-20 21:10:35.136116
DESVO,2023-11-30,6801520.59,4781,2155,533,2023-12-20 21:10:35.136116
WX82Z,2023-11-30,17460870.3,2858,8018,2089,2023-12-20 21:10:35.136116
0MDF4,2023-11-30,61820396.37,1844,3075,8399,2023-12-20 21:10:35.136116
QJ8EI,2023-11-30,25944560.01,8396,7931,6688,2023-12-20 21:10:35.136116
5TF7X,2023-11-30,49887311.94,7150,244,5338,2023-12-20 21:10:35.136116
YNUL4,2023-11-30,41281971.57,3680,8298,8788,2023-12-20 21:10:35.136116
MMTXE,2023-11-30,2702041.74,2865,3832,5914,2023-12-20 21:10:35.136116
8JJ9U,2023-11-30,18839943.09,8250,1244,6785,2023-12-20 21:10:35.136116
FLUU0,2023-11-30,54295664.85,8582,5071,9106,2023-12-20 21:10:35.136116
XP0U9,2023-11-30,24229463.58,5331,8862,6944,2023-12-20 21:10:35.136116
KVS5P,2023-11-30,4712671.53,9336,1768,6413,2023-12-20 21:10:35.136116
