internal_id,aum_date,aum,contributions,active_members,deferred_members,created_at
1CNXU,2023-10-30,31771807.254,9070,6898,4132,2023-11-20 21:10:35.136116
9LZ03,2023-10-30,9653148.999,2560,6954,4496,2023-11-20 21:10:35.136116
ML3VU,2023-10-30,129030.813,1950,8083,317,2023-11-20 21:10:35.136116
TBRY7,2023-10-30,14105125.026,6980,4701,7961,2023-11-20 21:10:35.136116
IP4RS,2023-10-30,59707720.755,8942,6776,1900,2023-11-20 21:10:35.136116
6U0VA,2023-10-30,5345581.311,7699,4425,3374,2023-11-20 21:10:35.136116
KYFTE,2023-10-30,60895451.295,9662,263,5552,2023-11-20 21:10:35.136116
WXO97,2023-10-30,45690263.082,7100,8262,4363,2023-11-20 21:10:35.136116
1TIPY,2023-10-30,22243789.647,3314,1994,9589,2023-11-20 21:10:35.136116
TP4ZF,2023-10-30,31695160.923,6938,7388,6009,2023-11-20 21:10:35.136116
CZB5X,2023-10-30,67538566.584,2055,2400,6365,2023-11-20 21:10:35.136116
RAFCU,2023-10-30,12024645.777,3968,4921,8158,2023-11-20 21:10:35.136116
VIHVV,2023-10-30,346979.214,8623,1759,2804,2023-11-20 21:10:35.136116
OPPSF,2023-10-30,3818138.229,6088,7431,2963,2023-11-20 21:10:35.136116
LAVC2,2023-10-30,41262501.519,1661,7993,4435,2023-11-20 21:10:35.136116
BRQPQ,2023-10-30,71012947.779,5165,910,8722,2023-11-20 21:10:35.136116
BJVAE,2023-10-30,68231042.226,6359,6107,9927,2023-11-20 21:10:35.136116
XVGI1,2023-10-30,48580231.95,8869,5579,401,2023-11-20 21:10:35.136116
SOCCG,2023-10-30,18880587.513,1423,8096,5689,2023-11-20 21:10:35.136116
9IDUJ,2023-10-30,37731829.131,5766,2116,96,2023-11-20 21:10:35.136116
HW8NG,2023-10-30,34441938.153,6994,6533,1225,2023-11-20 21:10:35.136116
WLCO4,2023-10-30,50799336.381,2564,9756,8526,2023-11-20 21:10:35.136116
5FGCX,2023-10-30,22541879.934,9255,636,5531,2023-11-20 21:10:35.136116
YVK5A,2023-10-30,10249326.657,9457,7101,1157,2023-11-20 21:10:35.136116
5U5D7,2023-10-30,72481796.757,6049,186,4189,2023-11-20 21:10:35.136116
ZOVAU,2023-10-30,52293313.989,1046,2162,1496,2023-11-20 21:10:35.136116
KJRCF,2023-10-30,72627076.98,9550,1723,6971,2023-11-20 21:10:35.136116
IIQ6L,2023-10-30,45901226.934,4080,9226,4363,2023-11-20 21:10:35.136116
G6I8V,2023-10-30,59603059.683,5961,4681,8510,2023-11-20 21:10:35.136116
BQIG1,2023-10-30,17595540.576,7145,667,5002,2023-11-20 21:10:35.136116
HBGSO,2023-10-30,68078009.088,2451,1291,1641,2023-11-20 21:10:35.136116
AYCRB,2023-10-30,66196086.111,6981,8410,3952,2023-11-20 21:10:35.136116
SIRFG,2023-10-30,17274481.686,6514,7858,3068,2023-11-20 21:10:35.136116
IXZIX,2023-10-30,58846413.087,1885,8864,6842,2023-11-20 21:10:35.136116
